,Gebiet,Total,Jahr
466,Wollishofen,16055,2011
467,Leimbach,5340,2011
468,Enge,8684,2011
469,Kreis 3,46943,2011
470,Alt-Wiedikon,16014,2011
471,Friesenberg,10622,2011
472,Sihlfeld,20307,2011
473,Kreis 4,27453,2011
474,Werd,4189,2011
475,Langstrasse,10520,2011
476,Hard,12744,2011
477,Kreis 5,12924,2011
478,Gewerbeschule,9795,2011
479,Escher Wyss,3129,2011
480,Kreis 6,31556,2011
481,Unterstrass,21240,2011
482,Oberstrass,10316,2011
483,Kreis 7,35616,2011
484,Fluntern,7873,2011
485,Hottingen,10461,2011
486,Hirslanden,7024,2011
487,Witikon,10258,2011
488,Kreis 8,15501,2011
489,Seefeld,4908,2011
490,Mühlebach,5651,2011
491,Weinegg,4942,2011
492,Kreis 9,49813,2011
493,Albisrieden,18432,2011
494,Altstetten,31381,2011
495,Kreis 10,37192,2011
496,Höngg,21323,2011
497,Wipkingen,15869,2011
498,Kreis 11,67945,2011
499,Affoltern,24437,2011
500,Oerlikon,21253,2011
501,Seebach,22255,2011
502,Kreis 12,29510,2011
503,Saatlen,7131,2011
504,Schwamendingen-Mitte,10863,2011
505,Hirzenbach,11516,2011
506,Kreis 1,5563,2010
507,Rathaus,3099,2010
508,Hochschulen,678,2010
509,Lindenhof,951,2010
510,City,835,2010
511,Kreis 2,29878,2010
512,Wollishofen,15988,2010
513,Leimbach,5293,2010
514,Enge,8597,2010
515,Kreis 3,46699,2010
516,Alt-Wiedikon,15988,2010
517,Friesenberg,10596,2010
518,Sihlfeld,20115,2010
519,Kreis 4,27429,2010
520,Werd,4167,2010
521,Langstrasse,10379,2010
522,Hard,12883,2010
523,Kreis 5,12764,2010
524,Gewerbeschule,9688,2010
525,Escher Wyss,3076,2010
526,Kreis 6,31464,2010
527,Unterstrass,21233,2010
528,Oberstrass,10231,2010
529,Kreis 7,35447,2010
530,Fluntern,7637,2010
531,Hottingen,10570,2010
532,Hirslanden,6998,2010
533,Witikon,10242,2010
534,Kreis 8,15518,2010
535,Seefeld,4840,2010
536,Mühlebach,5679,2010
537,Weinegg,4999,2010
538,Kreis 9,48494,2010
539,Albisrieden,17835,2010
540,Altstetten,30659,2010
541,Kreis 10,36879,2010
542,Höngg,21179,2010
543,Wipkingen,15700,2010
544,Kreis 11,65796,2010
545,Affoltern,22972,2010
546,Oerlikon,20787,2010
547,Seebach,22037,2010
548,Kreis 12,29537,2010
549,Saatlen,7175,2010
550,Schwamendingen-Mitte,10903,2010
551,Hirzenbach,11459,2010
552,Kreis 1,5576,2009
553,Rathaus,3110,2009
554,Hochschulen,673,2009
555,Lindenhof,940,2009
556,City,853,2009
557,Kreis 2,29809,2009
558,Wollishofen,15854,2009
559,Leimbach,5287,2009
560,Enge,8668,2009
561,Kreis 3,46971,2009
562,Alt-Wiedikon,15504,2009
563,Friesenberg,11003,2009
564,Sihlfeld,20464,2009
565,Kreis 4,27398,2009
566,Werd,4104,2009
567,Langstrasse,10392,2009
568,Hard,12902,2009
569,Kreis 5,12777,2009
570,Gewerbeschule,9717,2009
571,Escher Wyss,3060,2009
572,Kreis 6,31131,2009
573,Unterstrass,21080,2009
574,Oberstrass,10051,2009
575,Kreis 7,35362,2009
576,Fluntern,7528,2009
577,Hottingen,10594,2009
578,Hirslanden,6956,2009
579,Witikon,10284,2009
580,Kreis 8,15212,2009
581,Seefeld,4732,2009
